encuentro,tramo,perihelio,Rmin_Rsol,cobertura,n,dn,log10_B_1UA,dlog10_B_1UA,BR_r2_nT_UA2
8,alejamiento,2021-04-29T09,15.98,0.7333333333333333,-1.7009351336696201,0.06229823409714589,0.5914023476986036,0.04142960796821934,1.7202007608888887
9,acercamiento,2021-08-09T19,15.98,0.6219791666666666,-1.6840140954366971,0.07015347089364923,0.6690259501722572,0.05028917180577725,2.2732238959341666
9,alejamiento,2021-08-09T19,15.98,0.7336805555555556,-1.6819703619328548,0.053303335223107456,0.5983408840231375,0.03207409107217665,1.9542223816888888
10,acercamiento,2021-11-21T08,13.29,0.7659375,-1.801671311800218,0.03768790132611389,0.5703792220773937,0.032468043536911115,2.2323791986536112
10,alejamiento,2021-11-21T08,13.29,0.8629340277777777,-1.808655518898822,0.05336393573411431,0.5384867877624544,0.0400063346513159,2.04722525726132
11,acercamiento,2022-02-25T15,13.29,0.8506423611111111,-1.7323817287219545,0.03633737625780749,0.6459229862939511,0.026456511628205486,2.3568588815625
11,alejamiento,2022-02-25T15,13.29,0.7934722222222222,-1.7444694247343087,0.0339493281418151,0.6499297397993449,0.02569978978025697,2.4196958969166666
12,acercamiento,2022-06-01T23,13.27,0.8473090277777777,-1.7789613561465922,0.03773933134449697,0.7049080478743365,0.028228771008398185,3.0231510049687507
12,alejamiento,2022-06-01T23,13.27,0.7127430555555555,-1.6816281991745565,0.03056371248759041,0.7672110479524278,0.024244256909985207,2.8456383732750004
13,acercamiento,2022-09-06T06,13.27,0.6859375,-1.7393482576080108,0.038604533487270984,0.7398424781192424,0.019964873544537284,2.82476656380382
13,alejamiento,2022-09-06T06,13.27,0.7236631944444445,-1.816413282130562,0.043314951359907504,0.7176091947790149,0.03200007818633844,3.178238217171876
14,acercamiento,2022-12-11T13,13.29,0.6924479166666667,-1.8684883501403948,0.06135104988577508,0.651039835332637,0.04907706107593895,3.1481351102222215
14,alejamiento,2022-12-11T13,13.29,0.8155729166666666,-1.787152439348234,0.03860673445520751,0.7039756595989681,0.02987409120216997,3.0613070557333333
15,acercamiento,2023-03-17T20,13.29,0.8840277777777777,-1.723829429591572,0.04703580579579171,0.738809734147159,0.022148204923497762,2.996733924084445
15,alejamiento,2023-03-17T20,13.29,0.6217361111111112,-1.7552829554027862,0.03802559998960817,0.7369667993513641,0.03606327743505329,3.0006051948041668
16,acercamiento,2023-06-22T04,13.29,0.6475,-1.8520753640294376,0.041223138449847235,0.6569556322405394,0.03395978708887224,2.9005664874187507
16,alejamiento,2023-06-22T04,13.29,0.8616666666666667,-1.8068698062381716,0.05138984854335131,0.6850261720846735,0.02843585672953713,2.98900696518625
17,acercamiento,2023-09-27T23,11.44,0.9949652777777778,-1.650887059255371,0.059036494490609846,0.707846132003287,0.027896359696149838,2.0500410624249996
17,alejamiento,2023-09-27T23,11.44,0.6763020833333333,-1.691529030659436,0.053079188283942,0.6874919928957338,0.03493949629629793,2.2657151861437503
18,acercamiento,2023-12-29T00,11.44,0.5677083333333334,-1.753212626137508,0.05285929947278884,0.6638223679723336,0.03503126692489015,2.508561205707639
18,alejamiento,2023-12-29T00,11.44,0.911875,-1.7257795947904786,0.03943362334253769,0.6526339320307416,0.025129021385742297,2.3564105977500005
19,acercamiento,2024-03-30T02,11.44,0.9804513888888889,-1.7844749502620936,0.03487064829986943,0.6793047227038272,0.030229582183673755,2.7509247637500005
19,alejamiento,2024-03-30T02,11.44,0.5574826388888889,-1.840259195041908,0.03906114066140625,0.6399846623249601,0.029064413674179647,2.812646783749999
20,acercamiento,2024-06-30T03,11.44,0.64875,-1.780525006006877,0.039387741100933696,0.6929104000451065,0.03604000324578053,2.7632931384374997
20,alejamiento,2024-06-30T03,11.44,0.9989409722222222,-1.7712707654290591,0.08450400443198001,0.6882820917123402,0.035054606742947025,2.8377496383375003
21,acercamiento,2024-09-30T05,11.44,0.9728819444444444,-1.7469529148976048,0.037702301018742376,0.7990978459955962,0.025803721463846917,3.4334707693333333
21,alejamiento,2024-09-30T05,11.44,0.5903993055555555,-1.8382306335805978,0.05643056161077551,0.7181021656487538,0.04817371555162487,3.3695521043444443
22,acercamiento,2024-12-24T11,9.87,0.4690972222222222,-1.8733065556931947,0.042736537950955736,0.6665709495407328,0.03393501035903957,3.2059230698671874
22,alejamiento,2024-12-24T11,9.87,0.8349652777777777,-1.8003216765434413,0.06691690640842758,0.7460208597166538,0.036438798889425104,3.3855652193125003
23,acercamiento,2025-03-22T22,9.87,0.91765625,-1.8400000846253601,0.06018780033283053,0.7822447471322975,0.0250843882678983,3.8727313138906254
23,alejamiento,2025-03-22T22,9.87,0.5977604166666667,-1.8343972060378884,0.023418605912923447,0.8198928819859301,0.017211851032401148,4.217842200840278
24,acercamiento,2025-06-19T09,9.87,0.6100520833333334,-1.7993835563815688,0.03663696636792955,0.7936996659528457,0.0223530637061893,3.7663415807
24,alejamiento,2025-06-19T09,9.87,0.7886805555555556,-1.8770647814982173,0.022644567866366202,0.7253570776853253,0.01728564118548156,3.8751562914531252
25,acercamiento,2025-09-15T20,9.87,0.94421875,-1.7612330774688374,0.04620672252686827,0.8096885646129718,0.02485492776106517,3.459617053125
25,alejamiento,2025-09-15T20,9.87,0.78390625,-1.758005686332182,0.043226663708302464,0.7725393281086209,0.030074180387339545,3.1666649869687498
26,acercamiento,2025-12-13T07,9.87,0.7429166666666667,-1.7727666928938317,0.037798436801459875,0.7801026255644057,0.032905204060488795,3.4123249914454856
